id,word,pos,level,lesson
5,a lot,det.; pron.,A1,
6,"a, an",indefinite article,A1,
7,a.m.,abbr.,A1,2
12,about,adv.; prep.,A1,
13,above,prep.; adv.,A1,
55,address,n.; v.,A1,
63,adult,n.; adj.,A1,
78,after,prep.; conj.; adv.,A1,
79,afternoon,n.,A1,
81,again,adv.,A1,
83,age,n.,A1,
103,all,det.; pron.; adv.,A1,
104,all right,adj.; adv.; exclamation,A1,
117,also,adv.,A1,
123,always,adv.,A1,
137,and,conj.,A1,3
142,animal,n.,A1,
152,answer,n.; v.,A1,
158,any,det.; pron.; adv.,A1,
160,anything,pron.,A1,
173,apple,n.,A1,
186,April,n.; abbr. Apr.,A1,
191,arm,n.; v.,A1,
208,as,prep.; adv.; conj.,A1,
210,as well,,A1,
214,ask,v.,A1,
225,at,prep.,A1,
243,August,n.; abbr. Aug.,A1,
261,baby,n.,A1,20
262,back,n.; adj.; adv.; v.,A1,
267,bad,adj.,A1,14
270,bag,n.,A1,22
274,ball,n.,A1,
276,band,n.,A1,
278,bank,n.,A1,
279,bar,n.,A1,
287,bath,n.,A1,
288,bathroom,n.,A1,
292,"be, auxiliary",v.; v.,A1,
293,be called,,A1,
296,beach,n.,A1,
299,beard,n.,A1,
301,beautiful,adj.,A1,12
304,because,conj.,A1,
307,bed,n.,A1,
308,bedroom,n.,A1,
310,beer,n.,A1,
311,before,prep.; conj.; adv.,A1,
312,begin,v.,A1,
317,behind,prep.; adv.,A1,
322,below,prep.; adv.,A1,
330,"better, best, good, well",,A1,
332,between,prep.; adv.,A1,
336,big,adj.,A1,13
340,bird,n.,A1,23
342,birthday,n.,A1,
343,biscuit,n.,A1,
348,black,adj.; n.,A1,
358,blue,adj.; n.,A1,
359,board,n.; v.,A1,
360,boat,n.,A1,
361,body,n.,A1,
365,book,n.; v.,A1,18
369,bored,adj.,A1,3
370,boring,adj.,A1,
374,both,det.; pron.,A1,
377,bottom,n.; adj.,A1,
380,box,n.,A1,19
381,boy,n.,A1,20
387,bread,n.,A1,
389,breakfast,n.,A1,
408,brother,n.,A1,
409,brown,adj.; n.,A1,
421,bus,n.,A1,19
423,business,n.,A1,
426,but,conj.,A1,
427,butter,n.,A1,
429,buy,v.,A1,
