Word/Phrase,CEFR
a bit (adv.),A2
"a couple  (det.), (pron.)",B1
"a few (det.), (pron.)",A2
"a little (det.), (pron.)",A2
"a lot (det.), (pron.)",A1
"a, an (indefinite article) ",A1
a.m. (NAmE also A.M.) (abbr.) ,A1
abandon (v.) ,B2
abandoned (adj.) ,B2
ability (n.) ,B1
able (adj.) ,A2
"about (adv.), (prep.) ",A1
"above (prep.), (adv.) ",A1
abroad (adv.) ,B1
absence (n.) ,B2
absent (adj.) ,B1
absolute (adj.) ,B2
absolutely (adv.) ,B1
absorb (v.) ,B2
"abuse (n.), (v.) ",B2
academic (adj.) ,B2
accent (n.) ,B1
accept (v.) ,B1
acceptable (adj.) ,B1
access (n.) ,B1
accident (n.) ,A2
accidental (adj.) ,B2
accidentally (adv.) ,B2
accommodation (n.) ,B1
accompany (v.) ,B1
according to (prep.) ,B1
"account (n.), (v.) ",B1
accurate (adj.) ,B1
accurately (adv.) ,B1
accuse (v.) ,B2
achieve (v.) ,B1
achievement (n.) ,B1
acid (n.) ,B2
acknowledge (v.) ,C1
acquire (v.) ,B2
"across (adv.), (prep.) ",A2
"act (n.), (v.) ",B1
action (n.) ,B1
active (adj.) ,B1
actively (adv.) ,B2
activity (n.) ,A2
"actor, actress (n.) ",A2
actual (adj.) ,B2
actually (adv.) ,A2
ad (advertisement ),B1
adapt (v.) ,B2
add (v.) ,A2
addition (n.) ,B2
additional (adj.) ,B2
"address (n.), (v.) ",A1
adequate (adj.) ,B2
adequately (adv.) ,B2
adjust (v.) ,B2
admiration (n.) ,B2
admire (v.) ,B1
admit (v.) ,B1
adopt (v.) ,B2
"adult (n.), (adj.) ",A1
"advance (n.), (v.) ",B2
advanced (adj.) ,A2
advantage (n.) ,B1
adventure (n.) ,A2
advertise (v.) ,B1
"advertisement (also ad, advert) (n.) ",A2
advertising (n.) ,B2
advice (n.) ,A2
advise (v.) ,B1
affair (n.) ,B2
affect (v.) ,B2
affection (n.) ,B2
afford (v.) ,B1
afraid (adj.) ,A2
"after (prep.), (conj.), (adv.) ",A1
afternoon (n.) ,A1
afterwards (especially BrE; NAmE usually afterward) (adv.) ,A2
again (adv.) ,A1
against (prep.) ,A2
age (n.) ,A1
aged (adj.) ,A2
agency (n.) ,B1
agent (n.) ,B2
aggressive (adj.) ,B2
ago (adv.) ,A2
agree (v.) ,A2
agreement (n.) ,B2
ahead (adv.) ,B1
"aid (n.), (v.) ",C1
"aim (n.), (v.) ",B1
air (n.) ,A2
aircraft (n.) ,B2
airport (n.) ,A2
"alarm (n.), (v.) ",B1
alarmed (adj.) ,C1
alarming (adj.) ,C1
alcohol (n.) ,A2
"alcoholic (adj.), (n.) ",B1
alive (adj.) ,B1
"all (det.), (pron.), (adv.) ",A1
"all right (adj.), (adv.), (exclamation) ",A1
allied (adj.) ,C2
allow (v.) ,B1
"ally (n.), (v.) ",C1
almost (adv.) ,A2
"alone (adj.), (adv.) ",A2
"along (prep.), (adv.) ",A2
"alongside (prep.), (adv.) ",C1
aloud (adv.) ,B1
alphabet (n.) ,B1
alphabetical (adj.) ,B2
alphabetically (adv.) ,B2
already (adv.) ,A2
also (adv.) ,A1
alter (v.) ,B2
"alternative (n.), (adj.) ",B2
alternatively (adv.) ,B2
although (conj.) ,B1
altogether (adv.) ,B1
always (adv.) ,A1
amaze (v.) ,B1
amazed (adj.) ,B1
amazing (adj.) ,A2
ambition (n.) ,B1
ambulance (n.) ,A2
among (also amongst) (prep.) ,A2
"amount (n.), (v.) ",B1
amuse (v.) ,B2
amused (adj.) ,B2
amusing (adj.) ,B1
analyse (BrE) (NAmE analyze) (v.) ,B2
analysis (n.) ,B2
ancient (adj.) ,B1
and (conj.) ,A1
anger (n.) ,B2
angle (n.) ,C1
angrily (adv.) ,B1
angry (adj.) ,A2
animal (n.) ,A1
ankle (n.) ,B1
anniversary (n.) ,B1
announce (v.) ,B1
annoy (v.) ,B1
annoyed (adj.) ,B1
annoying (adj.) ,B1
annual (adj.) ,B1
annually (adv.) ,B2
"another (det.), (pron.)",A2
"answer (n.), (v.) ",A1
anti- (prefix) ,B2
anticipate (v.) ,C1
anxiety (n.) ,B2
anxious (adj.) ,B1
anxiously (adv.) ,B2
"any (det.), (pron.), (adv.) ",A1
anyone (also anybody) (pron.),A2
anything (pron.),A1
anyway (adv.) ,A2
anywhere (adv.) ,A2
apart (adv.) ,B1
apart from,B1
"apart from (also aside from, especially in NAmE) (prep.) ",B1
apartment (n.) (especially NAmE) ,A2
apologize (BrE also -ise) (v.) ,B1
apparent (adj.) ,B2
apparently (adv.) ,B2
"appeal (n.), (v.) ",B2
appear (v.) ,B1
appearance (n.) ,B1
apple (n.) ,A1
application (n.) ,B1
apply (v.) ,B1
appoint (v.) ,C1
appointment (n.) ,A2
appreciate (v.) ,B2
"approach (v.), (n.) ",B1
appropriate (adj.) ,B2
approval (n.) ,B2
approve (of) (v.) ,B1
approving (adj.) ,B1
approximate (adj.) ,B2
approximately (adv.) ,B1
April (n.) (abbr. Apr.) ,A1
area (n.) ,A2
argue (v.) ,B1
argument (n.) ,B1
arise (v.) ,C1
"arm (n.), (v.) ",A1
armed (adj.) ,B2
arms (n.) ,B2
army (n.) ,B1
"around (adv.), (prep.) ",A2
arrange (v.) ,B1
arrangement (n.) ,B1
"arrest (v.), (n.) ",B1
arrival (n.) ,B1
arrive (v.) ,A2
arrow (n.) ,B2
art (n.) ,A2
article (n.) ,B1
artificial (adj.) ,B2
artificially (adv.) ,B2
artist (n.) ,A2
artistic (adj.) ,B2
"as (prep.), (adv.), (conj.) ",A1
as soon as ,A2
as well (as) ,A1
ashamed (adj.) ,B1
aside (adv.) ,B2
aside from,B2
ask (v.) ,A1
asleep (adj.) ,B1
aspect (n.) ,B2
assist (v.) ,B2
assistance (n.) ,B2
"assistant (n.), (adj.) ",B1
associate (v.) ,C1
associated with ,B2
association (n.) ,B2
assume (v.) ,B2
assure (v.) ,B2
at (prep.) ,A1
at first ,B1
at least ,B1
atmosphere (n.) ,B1
atom (n.) ,B2
attach (v.) ,B1
attached (adj.) ,B2
"attack (n.), (v.) ",B1
"attempt (n.), (v.) ",B1
attempted (adj.) ,B1
attend (v.) ,B1
attention (n.) ,B1
attitude (n.) ,B1
attorney (n.) (especially NAmE) ,C1
attract (v.) ,B1
attraction (n.) ,B1
attractive (adj.) ,A2
audience (n.) ,B1
August (n.) (abbr. Aug.) ,A1
aunt (n.) ,A2
author (n.) ,B1
authority (n.) ,B2
automatic (adj.) ,B2
automatically (adv.) ,B2
autumn (n.) (especially BrE) ,A2
available (adj.) ,A2
"average (adj.), (n.) ",B1
avoid (v.) ,B1
awake (adj.) ,B1
"award (n.), (v.) ",B2
aware (adj.) ,B2
away (adv.) ,A2
awful (adj.) ,B1
awfully (adv.) ,B2
awkward (adj.) ,B2
awkwardly (adv.) ,B2
baby (n.) ,A1
"back (n.), (adj.), (adv.), (v.) ",A1
background (n.) ,B1
backward (adj.) ,C2
"backwards (also backward, especially in NAmE) (adv.) ",B1
bacteria (n.) ,C1
bad (adj.) ,A1
badly (adv.) ,A2
bad-tempered (adj.) ,B2
bag (n.) ,A1
baggage (n.) (especially NAmE) ,B1
bake (v.) ,A2
"balance (n.), (v.) ",B2
ball (n.) ,A1
"ban (v.), (n.) ",B2
band (n.) ,A1
"bandage (n.), (v.) ",B1
bank (n.) ,A1
bar (n.) ,A1
bargain (n.) ,B2
barrier (n.) ,B2
"base (n.), (v.) ",B2
based on ,B1
basic (adj.) ,B1
basically (adv.) ,B2
basis (n.) ,B2
bath (n.) ,A1
bathroom (n.) ,A1
battery (n.) ,A2
battle (n.) ,B1
bay (n.) ,B1
"be (v.), auxiliary (v.) ",A1
be called ,A1
be going to ,A2
be sick (BrE) ,B1
beach (n.) ,A1
beak (n.) ,C1
bear (v.) ,B2
beard (n.) ,A1
"beat (n.), (v.) ",B1
beautiful (adj.) ,A1
beautifully (adv.) ,B1
beauty (n.) ,B1
because (conj.) ,A1
because of (prep.) ,B1
become (v.) ,A2
bed (n.) ,A1
bedroom (n.) ,A1
beef (n.) ,B1
beer (n.) ,A1
"before (prep.), (conj.), (adv.) ",A1
begin (v.) ,A1
beginning (n.) ,A2
"behalf (n.): on behalf of sb, on sb’s behalf (BrE) (NAmE in behalf of sb, in sb’s behalf)  ",B2
behave (v.) ,B1
behaviour (BrE) (NAmE behavior) (n.) ,B1
"behind (prep.), (adv.) ",A1
belief (n.) ,B2
believe (v.) ,A2
bell (n.) ,B1
belong (v.) ,B2
"below (prep.), (adv.) ",A1
belt (n.) ,A2
"bend (v.), (n.) ",B2
"beneath (prep.), (adv.) ",B2
"benefit (n.), (v.) ",B1
bent (adj.) ,B2
beside (prep.) ,A2
"bet (v.), (n.) ",C1
"better, best, good, well ",A1
betting (n.) ,C2
"between (prep.), (adv.) ",A1
"beyond (prep.), (adv.) ",B2
bicycle (also bike) (n.) ,A2
"bid (v.), (n.) ",C1
big (adj.) ,A1
bill (n.) ,A2
bin (n.) (BrE) ,B1
biology (n.) ,A2
bird (n.) ,A1
birth (n.) ,B1
birthday (n.) ,A1
biscuit (n.) (BrE) ,A1
bit (n.) (especially BrE) ,A2
"bite (v.), (n.) ",B1
bitter (adj.) ,B1
bitterly (adv.) ,B1
"black (adj.), (n.) ",A1
blade (n.) ,B2
"blame (v.), (n.) ",B1
"blank (adj.), (n.) ",B1
blankly (adv.) ,B1
blind (adj.) ,B1
"block (n.), (v.) ",B1
"blonde (adj.), (n.), blond (adj.) ",A2
blood (n.) ,A2
"blow (v.), (n.) ",B1
"blue (adj.), (n.) ",A1
"board (n.), (v.) ",A1
boat (n.) ,A1
body (n.) ,A1
boil (v.) ,A2
"bomb (n.), (v.) ",B1
bone (n.) ,B1
"book (n.), (v.) ",A1
boot (n.) ,A2
border (n.) ,B1
bore (v.) ,B2
bored (adj.) ,A1
boring (adj.) ,A1
born: be born (v.) ,A2
borrow (v.) ,A2
boss (n.) ,A2
"both (det.), (pron.)",A1
bother (v.) ,A2
bottle (n.) ,A2
"bottom (n.), (adj.) ",A1
bound (adj.): bound to ,B2
bowl (n.) ,A2
box (n.) ,A1
boy (n.) ,A1
boyfriend (n.) ,A2
brain (n.) ,A2
branch (n.) ,B1
brand (n.) ,B2
brave (adj.) ,B1
bread (n.) ,A1
"break (v.), (n.) ",A2
breakfast (n.) ,A1
breast (n.) ,B1
breath (n.) ,B1
breathe (v.) ,B1
breathing (n.) ,B1
"breed (v.), (n.) ",B2
brick (n.) ,B2
bridge (n.) ,A2
brief (adj.) ,B1
briefly (adv.) ,B1
bright (adj.) ,A2
brightly (adv.) ,B2
brilliant (adj.) ,A2
bring (v.) ,A2
broad (adj.) ,B1
"broadcast (v.), (n.) ",B2
broadly (adv.) ,C1
broken (adj.) ,A2
"broken, break ",A2
brother (n.) ,A1
"brown (adj.), (n.) ",A1
"brush (n.), (v.) ",A2
bubble (n.) ,C1
budget (n.) ,B2
build (v.) ,A2
building (n.) ,A2
bullet (n.) ,B2
bunch (n.) ,B1
burn (v.) ,B1
burnt (adj.) ,B2
burst (v.) ,B2
bury (v.) ,B1
bus (n.) ,A1
bush (n.) ,B2
business (n.) ,A1
"businessman, businesswoman (n.) ",A2
busy (adj.) ,A2
but (conj.) ,A1
butter (n.) ,A1
button (n.) ,B1
buy (v.) ,A1
buyer (n.) ,B1
"by (prep.), (adv.) ",A2
by accident ,B1
by means of ,C1
bye (exclamation) ,A1
c (abbr. cent) ,A2
cabinet (n.) ,B2
cable (n.) ,B1
cake (n.) ,A1
calculate (v.) ,B2
calculation (n.) ,B2
"call (v.), (n.) ",A2
"calm (adj.), (v.), (n.) ",B1
