id,word,pos,cefr
1,a bit,adv.,A2
2,a couple,det.; pron.,B1
3,a few,det.; pron.,A2
4,a little,det.; pron.,A2
5,a lot,det.; pron.,A1
6,"a, an",indefinite article,A1
7,a.m.,abbr.,A1
8,abandon,v.,B2
9,abandoned,adj.,B2
10,ability,n.,B1
11,able,adj.,A2
12,about,adv.; prep.,A1
13,above,prep.; adv.,A1
14,abroad,adv.,B1
15,absence,n.,B2
16,absent,adj.,B1
17,absolute,adj.,B2
18,absolutely,adv.,B1
19,absorb,v.,B2
20,abuse,n.; v.,B2
21,academic,adj.,B2
22,accent,n.,B1
23,accept,v.,B1
24,acceptable,adj.,B1
25,access,n.,B1
26,accident,n.,A2
27,accidental,adj.,B2
28,accidentally,adv.,B2
29,accommodation,n.,B1
30,accompany,v.,B1
31,according to,prep.,B1
32,account,n.; v.,B1
33,accurate,adj.,B1
34,accurately,adv.,B1
35,accuse,v.,B2
36,achieve,v.,B1
37,achievement,n.,B1
38,acid,n.,B2
39,acknowledge,v.,C1
40,acquire,v.,B2
41,across,adv.; prep.,A2
42,act,n.; v.,B1
43,action,n.,B1
44,active,adj.,B1
45,actively,adv.,B2
46,activity,n.,A2
47,"actor, actress",n.,A2
48,actual,adj.,B2
49,actually,adv.,A2
50,ad,,B1
51,adapt,v.,B2
52,add,v.,A2
53,addition,n.,B2
54,additional,adj.,B2
55,address,n.; v.,A1
56,adequate,adj.,B2
57,adequately,adv.,B2
58,adjust,v.,B2
59,admiration,n.,B2
60,admire,v.,B1
61,admit,v.,B1
62,adopt,v.,B2
63,adult,n.; adj.,A1
64,advance,n.; v.,B2
65,advanced,adj.,A2
66,advantage,n.,B1
67,adventure,n.,A2
68,advertise,v.,B1
69,advertisement,n.,A2
70,advertising,n.,B2
71,advice,n.,A2
72,advise,v.,B1
73,affair,n.,B2
74,affect,v.,B2
75,affection,n.,B2
76,afford,v.,B1
77,afraid,adj.,A2
78,after,prep.; conj.; adv.,A1
79,afternoon,n.,A1
80,afterwards,adv.,A2
81,again,adv.,A1
82,against,prep.,A2
83,age,n.,A1
84,aged,adj.,A2
85,agency,n.,B1
86,agent,n.,B2
87,aggressive,adj.,B2
88,ago,adv.,A2
89,agree,v.,A2
90,agreement,n.,B2
91,ahead,adv.,B1
92,aid,n.; v.,C1
93,aim,n.; v.,B1
94,air,n.,A2
95,aircraft,n.,B2
96,airport,n.,A2
97,alarm,n.; v.,B1
98,alarmed,adj.,C1
99,alarming,adj.,C1
100,alcohol,n.,A2
101,alcoholic,adj.; n.,B1
102,alive,adj.,B1
103,all,det.; pron.; adv.,A1
104,all right,adj.; adv.; exclamation,A1
105,allied,adj.,C2
106,allow,v.,B1
107,ally,n.; v.,C1
108,almost,adv.,A2
109,alone,adj.; adv.,A2
110,along,prep.; adv.,A2
111,alongside,prep.; adv.,C1
112,aloud,adv.,B1
113,alphabet,n.,B1
114,alphabetical,adj.,B2
115,alphabetically,adv.,B2
116,already,adv.,A2
117,also,adv.,A1
118,alter,v.,B2
119,alternative,n.; adj.,B2
120,alternatively,adv.,B2
121,although,conj.,B1
122,altogether,adv.,B1
123,always,adv.,A1
124,amaze,v.,B1
125,amazed,adj.,B1
126,amazing,adj.,A2
127,ambition,n.,B1
128,ambulance,n.,A2
129,among,prep.,A2
130,amount,n.; v.,B1
131,amuse,v.,B2
132,amused,adj.,B2
133,amusing,adj.,B1
134,analyse,v.,B2
135,analysis,n.,B2
136,ancient,adj.,B1
137,and,conj.,A1
138,anger,n.,B2
139,angle,n.,C1
140,angrily,adv.,B1
141,angry,adj.,A2
142,animal,n.,A1
143,ankle,n.,B1
144,anniversary,n.,B1
145,announce,v.,B1
146,annoy,v.,B1
147,annoyed,adj.,B1
148,annoying,adj.,B1
149,annual,adj.,B1
150,annually,adv.,B2
151,another,det.; pron.,A2
152,answer,n.; v.,A1
153,anti-,prefix,B2
154,anticipate,v.,C1
155,anxiety,n.,B2
156,anxious,adj.,B1
157,anxiously,adv.,B2
158,any,det.; pron.; adv.,A1
159,anyone,pron.,A2
160,anything,pron.,A1
161,anyway,adv.,A2
162,anywhere,adv.,A2
163,apart,adv.,B1
164,apart from,,B1
165,apart from,prep.,B1
166,apartment,n.,A2
167,apologize,v.,B1
168,apparent,adj.,B2
169,apparently,adv.,B2
170,appeal,n.; v.,B2
171,appear,v.,B1
172,appearance,n.,B1
173,apple,n.,A1
174,application,n.,B1
175,apply,v.,B1
176,appoint,v.,C1
177,appointment,n.,A2
178,appreciate,v.,B2
179,approach,v.; n.,B1
180,appropriate,adj.,B2
181,approval,n.,B2
182,approve,v.,B1
183,approving,adj.,B1
184,approximate,adj.,B2
185,approximately,adv.,B1
186,April,n.; abbr. Apr.,A1
187,area,n.,A2
188,argue,v.,B1
189,argument,n.,B1
190,arise,v.,C1
191,arm,n.; v.,A1
192,armed,adj.,B2
193,arms,n.,B2
194,army,n.,B1
195,around,adv.; prep.,A2
196,arrange,v.,B1
197,arrangement,n.,B1
198,arrest,v.; n.,B1
199,arrival,n.,B1
200,arrive,v.,A2
201,arrow,n.,B2
202,art,n.,A2
203,article,n.,B1
204,artificial,adj.,B2
205,artificially,adv.,B2
206,artist,n.,A2
207,artistic,adj.,B2
208,as,prep.; adv.; conj.,A1
209,as soon as,,A2
210,as well,,A1
211,ashamed,adj.,B1
212,aside,adv.,B2
213,aside from,,B2
214,ask,v.,A1
215,asleep,adj.,B1
216,aspect,n.,B2
217,assist,v.,B2
218,assistance,n.,B2
219,assistant,n.; adj.,B1
220,associate,v.,C1
221,associated with,,B2
222,association,n.,B2
223,assume,v.,B2
224,assure,v.,B2
225,at,prep.,A1
226,at first,,B1
227,at least,,B1
228,atmosphere,n.,B1
229,atom,n.,B2
230,attach,v.,B1
231,attached,adj.,B2
232,attack,n.; v.,B1
233,attempt,n.; v.,B1
234,attempted,adj.,B1
235,attend,v.,B1
236,attention,n.,B1
237,attitude,n.,B1
238,attorney,n.,C1
239,attract,v.,B1
240,attraction,n.,B1
241,attractive,adj.,A2
242,audience,n.,B1
243,August,n.; abbr. Aug.,A1
244,aunt,n.,A2
245,author,n.,B1
246,authority,n.,B2
247,automatic,adj.,B2
248,automatically,adv.,B2
249,autumn,n.,A2
250,available,adj.,A2
251,average,adj.; n.,B1
252,avoid,v.,B1
253,awake,adj.,B1
254,award,n.; v.,B2
255,aware,adj.,B2
256,away,adv.,A2
257,awful,adj.,B1
258,awfully,adv.,B2
259,awkward,adj.,B2
260,awkwardly,adv.,B2
261,baby,n.,A1
262,back,n.; adj.; adv.; v.,A1
263,background,n.,B1
264,backward,adj.,C2
265,backwards,adv.,B1
266,bacteria,n.,C1
267,bad,adj.,A1
268,badly,adv.,A2
269,bad-tempered,adj.,B2
270,bag,n.,A1
